c  DAYS-w instance, from daysall.net file
c  Vertices in file daysall-vertices0.dat
c  Edges in file daysall-edges0.dat
c  
p edges  13308     62137
e     37 10705     1
e     41  3009     2
e     41  8865     2
e     43  1792     1
e     43 10715     1
e     46   728     2
e     46  1429     2
e     46 13265     2
e     47  4744     1
e     47  6356     1
e     47  7745     1
e     47  8996     1
e     47  8999     1
e     47  9968     1
e     48  2675     1
e     48 11373     1
e     48 12122     1
e     50  2116     1
e     50 12103     1
e     52  3009     1
e     52  7745     1
e     52  8075     1
e     52  8996     1
e     52 11843     1
e     55  4051     1
e     55  4230     2
e     55  5183     1
e     55  6940     2
e     55 11585     1
e     56   115     1
e     57  2987     4
e     57  4230     2
e     57  5277     1
e     57  7588     3
e     60  7074     2
e     60  7081     1
e     60  7973     1
e     63  8996     1
e     63  9978     1
e     64  8897     1
e     64  8996     4
e     64 12103     5
e     65  8996     2
e     65 12103     2
e     66  4313     1
e     66  7448     1
e     66 11804     1
e     66 12476     1
e     68  1744     1
e     68  2002     1
e     68  3497     4
e     68  3782     3
e     68  7400     3
e     68 10321     3
e     68 10982     4
e     68 11472     3
e     68 11663     1
e     68 13134     1
e     73  2425     1
e     73  4994     1
e     74  3421     1
e     74  4642     1
e     74  8245     1
e     74  9210     1
e     74 12709     1
e     75  3292     2
e     75 10409     1
e     76  7220     3
e     76  7712     1
e     76 11038     1
e     76 12059     1
e     77  1961     1
e     79  5277     2
e     79  5690     1
e     79  5937     1
e     79  6357     2
e     79 12117     2
e     82 10064     1
e     82 13136     1
e     82 13223     1
e     84  1957     2
e     84  3123     2
e     84  4121     2
e     84  7985     1
e     84 10511     1
e     85  8996     1
e     85 12103     1
e     86  8996     2
e     86  9978     2
e     87  9030     2
e     87  9978     2
e     88  1152     4
e     88  5030     4
e     88  7359     1
e     88 11220     1
e     90  3064     2
e     90  4483     5
e     90  4885     5
e     90  5690     8
e     90  7102     2
e     90  7388     1
e     90  8121     7
e     90 11646     9
e     90 12103     1
e     94  3248     1
e     94  9375     1
e     94 12301     1
e     97  1149     1
e     97  5966     1
e     97  6649     1
e     97  6894     1
e    100   425     1
e    100   900     1
e    100  2135     1
e    100  3252     1
e    102  3048     1
e    102  3229     1
e    102  3260     1
e    102  7457     1
e    102 11417     1
e    103   801     2
e    103  1792     2
e    103  4699     2
e    103  8820     2
e    103 11205     2
e    104  1649     1
e    104  3575     1
e    104  3593     1
e    104  4090     2
e    104  5315     5
e    104  6065     1
e    104  6413     1
e    104  7740     1
e    104  7853     1
e    104  8506     1
e    104 10049     1
e    104 12483     1
e    104 12875     5
e    105  1200     1
e    105  1792     1
e    105  2182     1
e    105 10530     1
e    106  8958     1
e    106 10488     1
e    106 11989     1
e    107  1728     1
e    107  3009     2
e    107  4040     2
e    107  6656     1
e    107  7627     1
e    107  8435     3
e    107  9791     1
e    107 12306     2
e    107 12483     2
e    107 12844     2
e    107 12946     3
e    108  4079     1
e    108  6413     1
e    108  6974     1
e    111  2274     1
e    111  5829     1
e    111  7494     1
e    111  7608     1
e    111  7982     1
e    111  8531     1
e    111 10116     1
e    111 10614     1
e    111 12084     1
e    115  3049     1
e    117  2319     1
e    117  4310     1
e    117  7092     1
e    117  7206     1
e    117  8323     1
e    117  8335     1
e    117  8950     1
e    117  9431     2
e    117 10786     1
e    117 13092     1
e    119  7102     2
e    119  8121     2
e    122  3435     1
e    122  4613     1
e    122  6517     1
e    122 12709     1
e    124  6080     3
e    124  7745     3
e    124  8996     3
e    124  8999     3
e    127  2327    19
e    127  4634     3
e    127 11340     3
e    127 12875    19
e    130  4090     2
e    130  6347     1
e    130  6955     2
e    130  8500     2
e    130 11163     2
e    131  5695     1
e    131 10421     1
e    133   698     1
e    133   762     1
e    133  7489     1
e    133  8296     1
e    135  3029     2
e    135  8235     2
e    135  8261     2
e    136  5322     2
e    136  8079     2
e    136  8809     1
e    139  3159     1
e    139 13121     1
e    141  6927     2
e    141  7874     2
e    142  8996     4
e    142 12103     4
e    143  1156     5
e    143  3893     1
e    143  4214     1
e    143  6078     5
e    143  8999     1
e    144  7388     3
e    144 13121     1
e    147  2002     1
e    147 12329     1
e    148  3248     2
e    148  4837     2
e    148  7814     2
e    148  9104     2
e    148 10803     2
e    148 11055     2
e    148 12122     1
e    148 12701     2
e    150  4885     1
e    150  7388     1
e    153  1314     3
e    153  2191     3
e    153  5105     3
e    153  8550     3
e    153 11944     3
e    154  1314     1
e    154  2191     1
e    154  5105     1
e    154 11944     1
e    159  1758     2
e    159  2377     1
e    159  2434     2
e    159  2730     2
e    159  6063     2
e    159  6082     2
e    159  7588     1
e    159  8530     1
e    159  8825     1
e    159  9210     1
e    159  9375     1
e    159 10636     1
e    159 10683     1
e    159 11204     1
e    164  1669     1
e    164  5123     1
e    164  6457     1
e    164  7454     1
e    164  7967     1
e    164 10445     2
e    164 10725     1
e    164 11138     2
e    164 12725     1
e    168  7102     1
e    168  9357     1
e    168 13136     1
e    173  8794     1
e    173  8885     1
e    174  2425     1
e    174  3248     1
e    174  7967     1
e    174  9312     1
e    174 11670     1
e    174 12306     1
e    174 13248     1
e    177  4709     1
e    177  8529     1
e    177 12122     1
e    177 13136     1
e    180  1289     1
e    180  1708     1
e    180  2341     1
e    180  8550     1
e    180  9385     1
e    180 10106     1
e    180 10860     1
e    180 11436     1
e    181  1289     1
e    181  1708     1
e    181  2341     1
e    181  9385     1
e    181 10106     1
e    181 10860     1
e    181 11436     1
e    183  2225     1
e    183  7220     1
e    185   562     1
e    185  3195     1
e    185  3960     1
e    185  4498     1
e    185  5383     1
e    185  7074     1
e    185  9525     1
e    185 13227     1
e    187  5378     1
e    187  8809     1
e    187  9912     1
e    190  1150     1
e    190  3042     1
e    190 11268     1
e    190 11624     1
e    194   802     2
e    194  1549     2
e    194  5837     2
e    194  9625     2
e    194 10125     2
e    194 11864     2
e    195  1657     2
e    195  4290     2
e    195  4633     2
e    195  4709     2
e    195  7392     2
e    195 10603     2
e    195 10607     2
e    197  1515     1
e    197  2446     1
e    197  4342     1
e    197  4578     1
e    197  4790     1
e    197  5300     1
e    197  6645     1
e    197  7738     1
e    197  8047     1
e    197 12874     1
e    197 12976     1
e    200  2001    14
e    200  5829     7
e    200  8193     6
e    200 12261     1
e    203  5550     2
e    203  6464     2
e    203  8992     2
e    204  2000     1
e    204 10296     1
e    207  8996     3
e    207 11825     3
e    210  2243     1
e    211  7037     1
e    211  9174     1
e    211 11494     1
e    213  1451     1
e    213  2286     1
e    213  2606     1
e    213  3111     1
e    213  3336     1
e    213  4051     1
e    213  4810     1
e    213  5315     1
e    213  7670     1
e    213  7745     1
e    213  8541     1
e    213 10426     1
e    213 10982     1
e    213 11419     1
e    213 11436     1
e    213 12416     1
e    213 12483     1
e    218  2534     3
e    218  3348     3
e    218  4634     3
e    218  5720     5
e    218  6356     3
e    218  8092     3
e    218 12022     5
e    219  5595     1
e    219 11899     1
e    220  2001     2
e    220  9174     2
e    220 10321     1
e    220 13148     1
e    227 10170     2
e    228  1602     1
e    228  3904     1
e    228  5720     1
e    228  9211     1
e    228 11823     1
e    233  3009     2
e    233  8658     2
e    234  2965     2
e    234  5550     2
e    234 12122     2
e    237  5129     1
e    237  8999     1
e    238   501     1
e    238 12103     1
e    238 12483     1
e    240   501     1
e    240   821     1
e    240  6260     1
e    240  6292     1
e    240  8996     3
e    240  8999     3
e    240 11640     1
e    240 11858     1
e    241   519     1
e    241  4597     1
e    241  4709     1
e    241  7943     1
e    241  8529     1
e    243  6502     2
e    243  6916     2
e    243  7650     2
e    246   632     1
e    246  3846     1
e    246  7201     1
e    246  8996     1
e    246 12910     1
e    249  7206     1
e    250  1523     2
e    250  4624     2
e    252  6794     2
e    252  7994     2
e    252  9726     2
e    255  2191     1
e    255  4423     1
e    257  7133     1
e    257  7388     1
e    257 10828     1
e    264  3428     2
e    264  5956     2
e    264  5974     2
e    267 10064     1
e    267 11586     1
e    267 12038     1
e    267 12810     1
e    268   269     1
e    268   340     1
e    268  1333     1
e    268  4383     1
e    268  4461     1
e    268  4709     1
e    268  8775     1
e    268 11055     1
e    268 11307     1
e    268 12141     1
e    269   340     1
e    269  1333     1
e    269  4383     1
e    269  4461     1
e    269  4709     1
e    269  8775     1
e    269 11055     1
e    269 11307     1
e    269 12141     1
e    270  1649     2
e    270  2501     5
e    270  3009     1
e    270  3395     1
e    270  6941     1
e    270  7745     9
e    270  8996     8
e    270 11464     1
e    270 11478     1
e    270 12483     3
e    271  2498     1
e    271  8146     1
e    272  3072     1
e    272 10603     1
e    272 10982     1
e    274  1012     1
e    274  3745     1
e    277  8378     1
e    277  9235     1
e    279   999     4
e    279  4241     4
e    290  1022     1
e    290  9375     1
e    293  2320     3
e    293  5277     3
e    293  6950     3
e    293 12141     3
e    294  1420     1
e    294  8999     1
e    294  9983     1
e    295   544     1
e    295  2550     1
e    295  4474     1
e    295  5183     1
e    295  8205     1
e    295 10090     1
e    295 10683     1
e    295 12001     1
e    297   501     1
e    297  9221     1
e    298   501     3
e    298 10441     3
e    301   821     1
e    301  9221     1
e    304  7360     1
e    304 11748     1
e    306  4397     2
e    306  8996     1
e    306 11869     2
e    306 12123     1
e    309  7536     1
e    309  9912     1
e    313   794     1
e    313  2140     1
e    313  3114     1
e    313  4750     1
e    313 11498     1
e    315  4071     1
e    315  6884     1
e    315 11874     1
e    315 13148     1
e    316   564     1
e    316  6281     1
e    316  6292     1
e    316  7506     1
e    316  8870     1
e    317  8996     1
e    317 12103     1
e    318  8975     1
e    318 10848     1
e    319  4837     3
e    319 11372     3
e    319 12074     3
e    319 13083     3
e    320  4830     1
e    320 10308     1
e    320 12074     1
e    322  7814     1
e    322  8121     1
e    322  8996     1
e    326  5759     1
e    326  8245     1
e    326  9968     1
e    326 13206     1
e    329  1348     1
e    329  1777     1
e    329  3383     1
e    329  8996     1
e    329 12979     1
e    330  3292     1
e    330  8996     1
e    331  1649     1
e    331  2116     2
e    331  2430     1
e    331  3180     1
e    331  3727     1
e    331  4071     1
e    331  4498     2
e    331  4633     1
e    331  4885     1
e    331  5277     1
e    331  6338     1
e    331  6544     1
e    331  7134     1
e    331  7738     1
e    331  8541     1
e    331  9522     1
e    331 10615     1
e    331 10780     1
e    331 10786     2
e    331 10973     1
e    331 12483     1
e    331 12910     1
e    332   333     1
e    333  5142     1
e    335 12022     1
e    337  1200     2
e    337  1805     2
e    337  8245     2
e    338  1732     3
e    338 13121     3
e    339  8530     1
e    340   627     1
e    340   632     1
e    340   638     1
e    340  1272     4
e    340  1333     1
e    340  1564     4
e    340  1925     1
e    340  2121     1
e    340  2186     1
e    340  2320     1
e    340  3014     2
e    340  3083     5
e    340  3945    32
e    340  4383     1
e    340  4461     1
e    340  4699     1
e    340  4709     1
e    340  5142     4
e    340  5591     1
e    340  5802     3
e    340  5829     3
e    340  6053     1
e    340  6495     2
e    340  6940     1
e    340  7133     4
e    340  7388     1
e    340  7608     2
e    340  7787     5
e    340  7899     1
e    340  8245     2
e    340  8296     1
e    340  8607     2
e    340  8618     1
e    340  8733     1
e    340  8775     4
e    340  8948     1
e    340  8988     1
e    340  8996     1
e    340  9158     7
e    340  9926     1
e    340 10328     2
e    340 10613     2
e    340 10631     1
e    340 10938     3
e    340 11055     1
e    340 11136     1
e    340 11248     1
e    340 11307     1
e    340 11352     2
e    340 11385     1
e    340 11417     2
e    340 11483     1
e    340 11710     1
e    340 11910     1
e    340 11968     2
e    340 11998     1
e    340 12001     3
e    340 12022     3
e    340 12122     8
e    340 12137     2
e    340 12141     3
e    340 12261     5
e    340 12483     1
e    340 12819     1
e    340 12931     1
e    340 12962     1
e    340 12963     1
e    340 13125     1
e    340 13136     1
e    342  3313     1
e    342  8615     1
e    342 11249     1
e    342 11910     1
e    343  2425     2
e    343  5332     3
e    343  8548     2
e    343 10221     3
e    345   826     1
e    345  1758     1
e    345  7157     1
e    345  9878     1
e    347  1127     1
e    347 10026     1
e    349  1456     2
e    349  2178     2
e    349  3675     2
e    349  7740     2
e    349 12910     2
e    352  6687     1
e    352 10473     1
e    352 11763     1
e    353   419     2
e    353   537     4
e    353   739     1
e    353  1123     5
e    353  1251     2
e    353  1665     1
e    353  1948     1
e    353  2116     1
e    353  2730     1
e    353  2884     1
e    353  3637     2
e    353  3795     1
e    353  5165    14
e    353  6260     2
e    353  6664     1
e    353  7133     1
e    353  7329     1
e    353  7541     1
e    353  7543     1
e    353  7673     4
e    353  8186     4
e    353  8235    10
e    353  8294     1
e    353  9157     1
e    353  9210     1
e    353  9363     1
e    353  9475     4
e    353 10026     2
e    353 10256     1
e    353 10530     3
e    353 10889     1
e    353 10982     1
e    353 11248     1
e    353 11862    18
e    353 11864     6
e    353 11948     1
e    353 12163     1
e    353 12867     3
e    353 12955     1
e    353 13136     1
e    354  2167     1
e    354  6260     1
e    354 11827     1
e    354 11864     1
e    355   475     1
e    355   826     2
e    355  1841     2
e    355  2884     1
e    355  6470     2
e    355  7201     2
e    355  8673     1
e    355  8897     2
e    355  9158     3
e    355  9210     2
e    355 11864     5
e    355 12084     1
e    356  9221     6
e    356  9271     6
e    357   746     1
e    357  4012     1
e    357 12736     1
e    359  5342     1
e    359  6693     1
e    359  9714     1
e    362  1230     1
e    362 10122     1
e    370   783     1
e    370   808     1
e    370   879     3
e    370  1469     3
e    370  2320     3
e    370  3760    18
e    370  4770    12
e    370  5030    16
e    370  5354     6
e    370  5819     2
e    370  6078     1
e    370  6117     6
e    370  6338     3
e    370  7772    11
e    370  7774     7
e    370  8025     4
e    370  8027     1
e    370  8083     1
e    370  8088     5
e    370  8121     1
e    370  8794     2
e    370  9714     2
e    370  9763     3
e    370  9773    18
e    370 10412     5
e    370 10487    12
e    370 11248     9
e    370 11757    12
e    370 13266     5
e    371   376     3
e    371  1410     6
e    371  1664    10
e    371  3438     2
e    371  7834     2
e    371  9414    10
e    371 10511     8
e    371 11581     7
e    373   808     9
e    373  4935     1
e    373  6353     1
e    373  8025    29
e    373  8049     1
e    373  8215     1
e    373  8261     4
e    373  8794    11
e    373 11757    13
e    373 11864     3
e    374  5076     4
e    374 10478     4
e    376   685     3
e    376  1200     1
e    376  1278     4
e    376  1664     7
e    376  1665     7
e    376  3109     5
e    376  3136     2
e    376  3263     1
e    376  4423     2
e    376  6521    12
e    376  6723    14
e    376  7772    25
e    376  7834     2
e    376  8264     2
e    376  9375     2
e    376  9414     7
e    376 10511     7
e    376 10813     3
e    376 11858     1
e    376 12261     2
e    376 12603     1
e    376 12910     1
e    376 12963     1
e    376 13268     3
e    380  2305     2
e    380  4526     2
e    381  1200     1
e    381  8060     2
e    381 12910     1
e    383  2471     4
e    383  3083     3
e    383  3954     3
e    383  4483     2
e    383  4930     1
e    383  5539     1
e    383  5985     1
e    383  6719     4
e    383  8870     1
e    383  9375     4
e    383 10879     1
e    383 11904     1
e    383 12122     1
e    383 12327     1
e    383 12389     1
e    383 12946     1
e    383 13099     2
e    385   843     1
e    385   852     1
e    386  7933     2
e    386  9093     1
e    386 10803     1
e    386 12396     2
e    387  7585     1
e    387  7992     1
e    388   458     1
e    388  2333     1
e    388  6078     1
e    388  9968     1
e    389  2271     1
e    389 10176     3
e    392  3293     1
e    392  8992     1
e    394   491     1
e    394  1200     1
e    394  4103     1
e    394  4153     1
e    394  7077     1
e    394  9385     1
e    394  9405     1
e    394 10625     1
e    394 11226     1
e    394 11611     1
e    394 12483     1
e    394 13028     1
e    397  2021     1
e    397 10938     1
e    397 12147     1
e    397 12611     1
e    398  5635     1
e    398  8317     1
e    398  8940     1
e    398 12963     1
e    401  1156     1
e    401  5277     3
e    401  7133     1
e    401  8075     1
e    401  9834     1
e    401 10514     5
e    401 10791     1
e    401 10813     1
e    401 11248     1
e    402   908     3
e    402  2121     3
e    402  4040     2
e    402  5315     1
e    402 10026     2
e    402 10091     2
e    402 11249     2
e    402 11862     9
e    402 11864     2
e    402 12483     2
e    403  5354     2
e    403  8088     2
e    403 11248     2
e    403 11757     2
e    404  2279     5
e    405  5865     6
e    405  6281     1
e    405  7828     4
e    405 10181     6
e    406   459     4
e    406  7740     4
e    410  5277     1
e    410  7133     2
e    410  8404     1
e    410 11633     2
e    410 12261     1
e    415  1035     3
e    415  5690     1
e    415 11202     1
e    415 11858     2
e    415 12797     2
e    416   626     2
e    416  2197     2
e    416  2279     1
e    416  4770     1
e    416 11498     1
e    417   544     1
e    417   619     2
e    417   633     2
e    417  1028    10
e    417  1058     7
e    417  1344     2
e    417  1665    12
e    417  2135     1
e    417  2136     1
e    417  2501     1
e    417  2574     1
e    417  2619     4
e    417  3209     1
e    417  4597     2
e    417  4699     2
e    417  4865     4
e    417  4919     5
e    417  4958     5
e    417  6117     1
e    417  6246     3
e    417  6531    10
e    417  6835     2
e    417  6841     2
e    417  7039     1
e    417  7049     1
e    417  7074     1
e    417  7349     1
e    417  7400     2
e    417  7585     1
e    417  7740     4
e    417  8521     1
e    417  8531     1
e    417  8607     2
e    417  8801     3
e    417  9147     1
e    417  9158     3
e    417  9814     1
e    417 10046     1
e    417 10097    11
e    417 10159     1
e    417 10260     1
e    417 10401     1
e    417 11055     1
e    417 11205     1
e    417 11757     1
e    417 11904     3
e    417 12141     1
e    417 12153     2
e    417 12483     9
e    417 12536     1
e    417 12615     1
e    417 12673     4
e    417 12860     3
e    417 12910     3
e    417 13134     1
e    417 13305     2
e    418  5254     1
e    418  5280     1
e    418  8240     1
e    418 11464     1
e    419  1343     2
e    419  8146     1
e    419  8435     3
e    419  9170     2
e    419 10982     1
e    422 10511     1
e    423  7543     1
e    423  8557     1
e    424  1200     1
e    424  5690     1
e    425   900     1
e    425  1694     1
e    425  2135     1
e    425  3252     1
e    425  6072     1
e    425  8811     2
e    425  8950     4
e    425 12261     1
e    426   491     1
e    426   626     2
e    426  1416    17
e    426  1571     1
e    426  2619     1
e    426  2848     2
e    426  3161     1
e    426  3421     2
e    426  3954     2
e    426  4593     3
e    426  4770     5
e    426  4873     2
e    426  5030     4
e    426  5486     3
e    426  5690     2
e    426  5877     1
e    426  6078     2
e    426  6277     2
e    426  6897     1
e    426  7675     3
e    426  7775     1
e    426  7902     1
e    426  8121     2
e    426  8529     5
e    426  8531     2
e    426  8550     1
e    426  9157     2
e    426  9158     3
e    426  9210     2
e    426  9375     2
e    426  9866     2
e    426 10397     2
e    426 10636     3
e    426 10787     1
e    426 10948     2
e    426 11791     1
e    426 11966     1
e    426 12158     3
e    426 13144     2
e    427  5865     4
e    427  8200     4
e    428  5740     2
e    428 11904     2
e    431   458     6
e    431  2243     1
e    431  3281     6
e    431  6719     2
e    431  7136     1
e    431 12875     6
e    432  1200     2
e    432  6117     3
e    432  7815     3
e    432  8531     2
e    432  9906     2
e    432 11836     1
e    432 11948     2
e    432 12068     2
e    433  1665     2
e    433  3496     2
e    433  4787     1
e    433  7770     1
e    433 12483     3
e    434  1665     3
e    434  1813     1
e    434  2730     1
e    434  5300     1
e    434  6310     1
e    434  7511     4
e    434  9804     1
e    434 10202     1
e    434 12910     1
e    435  1950     1
e    435  2593     1
e    435  2710     1
e    435  6414     1
e    435  6767     1
e    435  7244     1
e    436  2178     3
e    436  2454     3
e    437  9647     1
e    440  1611     1
e    440  9980     1
e    445  2501     1
e    445  3257     1
e    445  7454     1
e    445 11248     1
e    445 11296     1
e    446   821     1
e    446  4177     1
e    446  5225     1
e    446  8646     1
e    446  9280     1
e    446 11220     1
e    448  1665     5
e    448  6337     5
e    448  7353     1
e    448  9375     1
e    449  1123     1
e    449  6723     1
e    449  6975     1
e    451  1406     1
e    451  3498     1
e    451  6117     1
e    451  7879     1
e    451  8146     1
e    451 12946     1
e    452  2407     2
e    452  3216     2
e    452 12153     1
e    452 12603     1
e    453   820     1
e    453  8677     1
e    454  3349     3
e    454  7207     3
e    454  8863     3
e    454  8999     1
e    454  9236     1
e    454 10965     1
e    454 13216     1
e    455   604     1
e    455  1661     1
e    455  3866     1
e    455  4613     2
e    455  5531     1
e    455  7497     1
e    455  8992     2
e    455  9115     2
e    455  9387     2
e    455  9894     2
e    455 10266     2
e    455 11061     1
e    455 11065     5
e    455 11589     1
e    455 12261     2
e    455 12831     1
e    458   459    20
e    458   491     1
e    458   565     1
e    458   820     1
e    458   821     7
e    458  1043     1
e    458  1200    27
e    458  1343     5
e    458  1431     6
e    458  1433     1
e    458  1652     2
e    458  1936     2
e    458  2279     1
e    458  2333     1
e    458  2498     2
e    458  2508     1
e    458  2512     2
e    458  2604     1
e    458  2780     1
e    458  2793     2
e    458  2829     5
e    458  3009     7
e    458  3035    13
e    458  3075     4
e    458  3079     5
e    458  3149     1
e    458  3281     6
e    458  3376     1
e    458  3464    12
e    458  3482     1
e    458  4129     1
e    458  4259     1
e    458  4498     3
e    458  4740     5
e    458  4808     2
e    458  4828     2
e    458  4950    10
e    458  5221     2
e    458  5491     2
e    458  5510     1
e    458  5562     1
e    458  5593     3
e    458  5690     1
e    458  5798     1
e    458  6077     4
e    458  6078     1
e    458  6131     2
e    458  6148     4
e    458  6243     1
e    458  6244     8
e    458  6710     1
e    458  6719     1
e    458  6771     1
e    458  6835     1
e    458  6923     1
e    458  7206     1
e    458  7502     2
e    458  8060     2
e    458  8075     4
e    458  8109     2
e    458  8146     1
e    458  8200     1
e    458  8245     2
e    458  8252     1
e    458  8261     1
e    458  8363     2
e    458  8650     1
e    458  8677     6
e    458  8721     2
e    458  8736     1
e    458  8809     1
e    458  8992     3
e    458  8996     8
e    458  9021     5
e    458  9147     2
e    458  9313     6
e    458  9375    23
e    458  9404     5
e    458  9510     1
e    458  9659     1
e    458  9693     1
e    458  9806     1
e    458  9807     2
e    458  9847     1
e    458  9953     1
e    458  9968     1
e    458 10027     2
e    458 10077     2
e    458 10130     1
e    458 10197     2
e    458 10268     3
e    458 10705     3
e    458 10716     2
e    458 10797     2
e    458 10916     1
e    458 10948     1
e    458 11091     4
e    458 11101     1
e    458 11111     1
e    458 11220     1
e    458 11346     5
e    458 11385     1
e    458 11896     7
e    458 11900    36
e    458 11901    56
e    458 11904    80
e    458 11962     1
e    458 11966     1
e    458 11968     5
e    458 12058     2
e    458 12099     2
e    458 12137     1
e    458 12149     2
e    458 12195     2
e    458 12261     1
e    458 12367     1
e    458 12483    17
e    458 12530     2
e    458 12556     2
e    458 12736     2
e    458 12767     9
e    458 12768     1
e    458 12875    66
e    458 12910     2
e    458 13210     1
e    458 13216     2
e    459   549    45
e    459   566     2
e    459   633     1
e    459   820     2
e    459   821    24
e    459   901     1
e    459  1019     7
e    459  1054     1
e    459  1058     1
e    459  1078     3
e    459  1200    15
e    459  1202     1
e    459  1247     2
e    459  1251     4
e    459  1253     2
e    459  1318     1
e    459  1665     9
e    459  2091     3
e    459  2333     2
e    459  2407     1
e    459  2425     1
e    459  2508     2
e    459  2655     5
e    459  2658     1
e    459  2786     2
e    459  2791     2
e    459  2829    12
e    459  2830     6
e    459  2848     4
e    459  2867     2
e    459  2942     1
e    459  2977     1
e    459  2987     2
e    459  3009     2
e    459  3020     7
e    459  3163     1
e    459  3182     1
e    459  3280     1
e    459  3281     3
e    459  3292     1
e    459  3316     5
e    459  3389     2
e    459  3427     1
e    459  3612     1
e    459  3797     2
e    459  3927     1
e    459  3942     1
e    459  4071     2
e    459  4106     4
e    459  4141     5
e    459  4224     1
e    459  4256     4
e    459  4381     2
e    459  4384     1
e    459  4578     1
e    459  4596     1
e    459  4597     6
e    459  4624     5
e    459  4763     6
e    459  4770     2
e    459  4791     1
e    459  4933     2
e    459  4950     6
e    459  5076     1
e    459  5129     1
e    459  5183     3
e    459  5256     1
e    459  5277    22
e    459  5405     1
e    459  5475     2
e    459  5488     2
e    459  5505     1
e    459  5513     1
e    459  5635     1
e    459  5865     1
e    459  5866     4
e    459  5972     1
e    459  5997     2
e    459  6205     4
e    459  6213     2
e    459  6231     1
e    459  6244     5
e    459  6281     1
e    459  6338     2
e    459  6353     1
e    459  6365     2
e    459  6414     2
e    459  6512     1
e    459  6588     2
e    459  6719     4
e    459  6796     1
e    459  6884     1
e    459  6903     1
e    459  6919     3
e    459  6940     4
e    459  6971     6
e    459  6978     1
e    459  7074     6
e    459  7081     1
e    459  7188     1
e    459  7457     3
e    459  7506     1
e    459  7585     1
e    459  7588     1
e    459  7622     1
e    459  7650     1
e    459  7740   180
e    459  7787     2
e    459  8075     1
e    459  8146     4
e    459  8150     3
e    459  8209     2
e    459  8245     2
e    459  8264     3
e    459  8352     1
e    459  8483     2
e    459  8531     1
e    459  8677     1
e    459  8794     2
e    459  8865     1
e    459  8951     2
e    459  8996     6
e    459  8999     3
e    459  9021     1
e    459  9120     1
e    459  9124     1
e    459  9147     2
e    459  9157     3
e    459  9269     2
e    459  9270     7
e    459  9312     1
e    459  9359     1
e    459  9375     7
e    459  9460     1
e    459  9488     1
e    459  9512     2
e    459  9611     1
e    459  9664     4
e    459  9698     1
e    459  9847     1
e    459  9918     1
e    459  9921     1
e    459 10046     3
e    459 10088     2
e    459 10090     5
e    459 10110     4
e    459 10111     4
e    459 10197     5
e    459 10268     1
e    459 10274     1
e    459 10323     2
e    459 10339     1
e    459 10354     2
e    459 10493     3
e    459 10511     4
e    459 10545     1
e    459 10550     2
e    459 10636     1
e    459 10644     2
e    459 10688     1
e    459 10715     2
e    459 10751     1
e    459 10948     6
e    459 11223     2
e    459 11248     1
e    459 11346     2
e    459 11612     6
e    459 11639     1
e    459 11743     8
e    459 11757    10
e    459 11795     5
e    459 11842     1
e    459 11868     2
e    459 11897     1
e    459 11900     3
e    459 11904    15
e    459 11927     1
e    459 11944     1
e    459 12022    20
e    459 12047     1
e    459 12150     2
e    459 12163     1
e    459 12255     1
e    459 12261     2
e    459 12334     1
e    459 12424     2
e    459 12480     1
e    459 12483    67
e    459 12511     4
e    459 12587     1
e    459 12603     3
e    459 12649     1
