c  Weighted graph: number of common reactions
c  among pairs of reactants/products.
c  It counts all reactions where metabolites
c  comes, no matter the side.
c  Threshold =   1, for edges admission
c  nodes n =      991    #(real nodes) =      991
c  edges m =     4161
c
p edges    991      4161
e     35   819     1
e     36   199     1
e     36   233     1
e     36   325     1
e     37   165     1
e     37   199     2
e     37   223     1
e     37   233     2
e     37   555     1
e     37   558     1
e     37   711     2
e     38    55     1
e     38   183     1
e     38   291     1
e     39    56     1
e     39   184     1
e     39   246     2
e     39   292     1
e     40    41     2
e     40    42     2
e     40    66     1
e     40    88     2
e     40   288     1
e     40   659     1
e     40   660     1
e     41   184     1
e     41   292     1
e     41   782     1
e     43   127     1
e     43   142     1
e     43   199     1
e     43   233     1
e     43   775     1
e     43   885     1
e     44    46     1
e     44    71     1
e     44   725     1
e     44   832     1
e     44   834     1
e     45    47     1
e     45    49     1
e     45   724     1
e     45   831     1
e     45   833     1
e     46    48     1
e     46   725     1
e     46   832     1
e     46   834     1
e     47   831     1
e     47   833     1
e     48   725     1
e     49   104     1
e     49   288     1
e     49   724     1
e     50    55     2
e     50   555     2
e     50   704     2
e     51    52     1
e     51    55     2
e     51   527     2
e     51   555     2
e     51   663     1
e     51   664     1
e     51   672     1
e     52   289     2
e     52   717     2
e     53   547     1
e     53   548     1
e     53   599     1
e     53   672     4
e     53   713     2
e     53   862     2
e     54   289     1
e     54   600     1
e     54   673     1
e     54   778     1
e     55    56     2
e     55    59     3
e     55    66     2
e     55    86     1
e     55   102     2
e     55   122     1
e     55   123     1
e     55   131     1
e     55   183     1
e     55   205     4
e     55   288     1
e     55   291     1
e     55   487     2
e     55   527     2
e     55   531     2
e     55   541     2
e     55   555    26
e     55   556     1
e     55   558     1
e     55   565     1
e     55   569     2
e     55   574     2
e     55   578     2
e     55   587     1
e     55   589     2
e     55   607     3
e     55   610     2
e     55   614     2
e     55   623     2
e     55   651     2
e     55   659     4
e     55   660     4
e     55   663     1
e     55   664     1
e     55   672     2
e     55   704     2
e     55   714     2
e     55   716     2
e     55   717     2
e     55   718     1
e     55   735     2
e     55   777     2
e     55   781     2
e     55   864     1
e     56    67     2
e     56   103     2
e     56   184     1
e     56   289     3
e     56   292     2
e     56   446     9
e     56   519     1
e     56   532     2
e     56   543     2
e     56   570     2
e     56   575     2
e     56   647     1
e     56   656     1
e     56   661     2
e     56   662     2
e     56   715     2
e     56   716     2
e     56   717     2
e     56   719     1
e     56   778     2
e     56   865     1
e     57   672     1
e     57   734     1
e     58   120     2
e     58   748     2
e     59   288     3
e     59   493     1
e     59   555     3
e     59   607     3
e     59   659     1
e     59   660     1
e     59   663     1
e     59   664     1
e     59   724     1
e     59   758     2
e     60   224     1
e     60   233     1
e     60   775     1
e     61   286     1
e     62   304     1
e     63   464     1
e     64   502     1
e     65   133     1
e     65   476     3
e     65   645     2
e     65   646     1
e     65   658     2
e     65   724     3
e     66    67     2
e     66   288     1
e     66   555     2
e     66   574     2
e     66   659     1
e     66   660     1
e     67   446     2
e     67   575     2
e     68    69     1
e     68   711     1
e     69   663     1
e     69   664     1
e     69   843     1
e     70   288     1
e     70   291     1
e     70   483     1
e     70   596     1
e     70   663     1
e     70   664     1
e     70   857     1
e     71   725     1
e     71   832     1
e     71   834     1
e     71   965     1
e     72    84     1
e     72   531     1
e     72   724     1
e     73    90     1
e     73   475     1
e     73   659     1
e     73   660     1
e     73   914     1
e     74    91     2
e     74   659     1
e     74   660     1
e     74   663     1
e     74   664     1
e     74   894     2
e     75    92     2
e     75   659     1
e     75   660     1
e     75   663     1
e     75   664     1
e     75   896     2
e     76    93     2
e     76   659     1
e     76   660     1
e     76   663     1
e     76   664     1
e     76   898     2
e     77    94     1
e     77   663     1
e     77   664     1
e     77   899     1
e     78    95     1
e     78   663     2
e     78   664     2
e     78   790     1
e     78   900     1
e     79    96     1
e     79   663     1
e     79   664     1
e     79   901     1
e     80    97     1
e     80   663     1
e     80   664     1
e     80   902     1
e     81    98     1
e     81   659     1
e     81   660     1
e     81   903     1
e     82    99     1
e     82   659     1
e     82   660     1
e     82   904     1
e     83   100     1
e     83   475     1
e     83   659     1
e     83   660     1
e     83   917     1
e     84   531     1
e     84   573     1
e     84   663     1
e     84   664     1
e     84   724     1
e     85   101     1
e     85   659     1
e     85   660     1
e     85   918     1
e     86   331     1
e     86   555     1
e     86   565     1
e     87   505     1
e     87   672     1
e     88    89     2
e     90   183     1
e     90   291     1
e     90   659     1
e     90   660     1
e     91   183     1
e     91   291     2
e     91   368     2
e     91   620     1
e     91   659     1
e     91   660     1
e     91   663     1
e     91   664     1
e     92   183     1
e     92   291     2
e     92   620     1
e     92   659     1
e     92   660     1
e     92   663     1
e     92   664     1
e     92   877     2
e     93   183     1
e     93   291     2
e     93   483     2
e     93   620     1
e     93   659     1
e     93   660     1
e     93   663     1
e     93   664     1
e     94   291     1
e     94   620     1
e     94   663     1
e     94   664     1
e     94   697     1
e     95   259     1
e     95   291     1
e     95   620     1
e     95   663     1
e     95   664     1
e     96   260     1
e     96   291     1
e     96   620     1
e     96   663     1
e     96   664     1
e     97   262     1
e     97   291     1
e     97   620     1
e     97   663     1
e     97   664     1
e     98   183     1
e     98   291     1
e     98   659     1
e     98   660     1
e     98   700     1
e     99   183     1
e     99   291     1
e     99   320     1
e     99   659     1
e     99   660     1
e    100   183     1
e    100   247     1
e    100   291     1
e    100   659     1
e    100   660     1
e    101   183     1
e    101   291     1
e    101   486     1
e    101   659     1
e    101   660     1
e    102   103     2
e    102   555     2
e    102   569     2
e    103   446     2
e    103   570     2
e    103   780     1
e    104   138     1
e    104   210     1
e    104   288     1
e    104   775     1
e    105   187     1
e    105   288     1
e    105   618     1
e    105   663     2
e    105   664     2
e    105   698     1
e    105   786     2
e    106   188     1
e    106   289     1
e    106   619     1
e    106   665     2
e    106   666     2
e    106   699     1
e    106   787     2
e    107   187     1
e    107   288     1
e    107   318     1
e    107   618     1
e    107   663     2
e    107   664     2
e    107   788     2
e    108   188     1
e    108   289     1
e    108   319     1
e    108   619     1
e    108   665     2
e    108   666     2
e    108   789     2
e    109   187     1
e    109   288     1
e    109   618     1
e    109   663     2
e    109   664     2
e    109   791     2
e    109   875     1
e    110   188     1
e    110   289     1
e    110   619     1
e    110   665     2
e    110   666     2
e    110   792     2
e    110   876     1
e    111   187     1
e    111   248     1
e    111   288     1
e    111   618     1
e    111   663     2
e    111   664     2
e    111   793     2
e    112   188     1
e    112   249     1
e    112   289     1
e    112   619     1
e    112   665     2
e    112   666     2
e    112   794     2
e    113   187     1
e    113   288     1
e    113   481     1
e    113   618     1
e    113   663     2
e    113   664     2
e    113   795     2
e    114   188     1
e    114   289     1
e    114   482     1
e    114   619     1
e    114   665     2
e    114   666     2
e    114   796     2
e    115   187     1
e    115   288     1
e    115   484     1
e    115   618     1
e    115   663     2
e    115   664     2
e    115   797     2
e    116   188     1
e    116   289     1
e    116   485     1
e    116   619     1
e    116   665     2
e    116   666     2
e    116   798     2
e    117   187     1
e    117   288     1
e    117   366     1
e    117   618     1
e    117   663     2
e    117   664     2
e    117   799     2
e    118   188     1
e    118   289     1
e    118   367     1
e    118   619     1
e    118   665     2
e    118   666     2
e    118   800     2
e    119   195     1
e    119   197     1
e    119   199     1
e    119   233     1
e    119   722     1
e    119   806     1
e    119   871     1
e    120   121     2
e    120   122     1
e    120   199     2
e    120   233     2
e    120   659     1
e    120   660     1
e    121   199     2
e    121   233     2
e    121   346     2
e    121   659     2
e    121   660     2
e    121   711     2
e    122   123     1
e    122   555     1
e    122   659     1
e    122   660     1
e    123   555     1
e    123   596     1
e    123   711     1
e    124   125     1
e    124   534     1
e    124   663     1
e    124   664     1
e    124   720     1
e    124   724     1
e    124   805     1
e    125   126     2
e    125   513     1
e    125   663     1
e    125   664     1
e    125   724     1
e    127   129     1
e    127   199     2
e    127   233     2
e    128   130     1
e    128   281     1
e    128   555     1
e    128   558     1
e    128   777     1
e    129   199     1
e    129   223     1
e    129   233     1
e    130   356     2
e    130   775     1
e    130   777     1
e    131   288     1
e    131   429     1
e    131   487     1
e    131   555     2
e    131   864     1
e    132   134     1
e    132   661     1
e    132   662     1
e    133   476     1
e    133   658     1
e    133   724     1
e    134   661     1
e    134   662     1
e    135   141     1
e    135   176     1
e    135   425     1
e    136   137     1
e    136   672     1
e    137   672     1
e    138   210     1
e    138   281     1
e    138   775     1
e    138   777     1
e    139   149     1
e    139   288     1
e    139   548     1
e    139   607     1
e    140   704     1
e    140   711     1
e    141   493     1
e    141   724     1
e    142   149     1
e    142   199     1
e    142   233     1
e    142   775     1
e    142   885     1
e    143   514     1
e    143   515     1
e    143   663     1
e    143   664     1
e    143   724     1
e    144   199     1
e    144   233     1
e    144   541     1
e    144   542     1
e    144   663     1
e    144   664     1
e    144   711     1
e    145   147     3
e    145   659     1
e    145   660     1
e    145   663     2
e    145   664     2
e    146   148     2
e    146   665     2
e    146   666     2
e    147   148     2
e    147   288     1
e    147   352     1
e    147   381     1
e    147   386     1
e    147   457     3
e    147   596     2
e    147   659     2
e    147   660     2
e    147   663     2
e    147   664     2
e    147   672     1
e    147   781     1
e    147   878     4
e    148   157     1
e    148   288     1
e    148   458     3
e    148   597     2
e    148   661     1
e    148   662     1
e    148   665     3
e    148   666     3
e    148   672     1
e    148   879     3
e    149   199     1
e    149   233     1
e    149   288     1
e    149   548     1
e    149   607     1
e    150   643     1
e    150   648     1
e    151   152     1
e    151   153     1
e    151   663     1
e    151   664     1
e    151   711     1
e    152   663     1
e    152   664     1
e    152   672     1
e    153   166     1
e    153   529     1
e    153   711     2
e    154   206     1
e    154   487     1
e    154   756     1
e    155   289     1
e    155   292     1
e    155   458     1
e    155   865     1
e    156   199     1
e    156   233     1
e    156   492     1
e    156   582     1
e    156   711     1
e    156   878     1
e    157   200     1
e    157   234     1
e    157   665     1
e    157   666     1
e    157   712     1
e    158   492     1
e    158   582     1
e    158   881     1
e    159   766     1
e    159   833     1
e    159   835     1
e    159   855     2
e    159   856     1
e    160   281     1
e    160   711     2
e    160   748     1
e    160   844     1
e    161   162     2
e    161   163     1
e    161   192     1
e    161   224     3
e    161   226     1
e    161   233     3
e    161   288     1
e    161   375     2
e    161   464     1
e    161   471     1
e    161   497     1
e    161   502     1
e    161   555     1
e    161   558     1
e    161   644     1
e    161   649     1
e    161   677     1
e    161   678     2
e    161   709     2
e    161   710     2
e    161   767     1
e    161   775    12
e    161   971     1
e    161   972     1
e    161   984     1
e    161   986     1
e    162   289     1
e    162   679     2
e    162   680     1
e    162   768     1
e    162   776     2
e    163   164     2
e    163   199     2
e    163   233     2
e    163   457     2
e    163   555     1
e    163   558     1
e    163   711     2
e    163   775     1
e    164   165     1
e    164   199     2
e    164   233     2
e    164   457     2
e    164   711     2
e    164   878     1
e    165   199     1
e    165   233     1
e    165   555     1
e    165   558     1
e    165   711     1
e    165   878     1
e    166   529     1
e    166   711     1
e    167   170     2
e    167   288     3
e    167   291     3
e    167   531     2
e    167   620     1
e    168   288     1
e    168   342     1
e    168   376     1
e    168   663     1
e    168   664     1
e    169   170     2
e    169   199     2
e    169   233     2
e    169   288     2
e    169   305     2
e    169   333     2
e    169   487     2
e    169   711     2
e    169   830     2
e    169   833     2
e    170   227     2
e    170   288     2
e    170   291     2
e    170   487     2
e    170   531     2
e    170   830     2
e    170   833     2
e    171   172     2
e    172   174     2
e    172   288     1
e    172   404     2
e    172   457     1
e    172   599     1
e    172   659     3
e    172   660     3
e    172   663     1
e    172   664     1
e    172   777     1
e    173   175     2
e    173   407     2
e    173   661     3
e    173   662     3
e    173   665     1
e    173   666     1
e    174   175     2
e    174   183     2
e    174   185     2
e    174   224     1
e    174   233     1
e    174   277     1
e    174   278     1
e    174   291     2
e    174   457     1
e    174   487     2
e    174   492     1
e    174   495     2
e    174   548     1
e    174   582     1
e    174   599     1
e    174   633     1
e    174   659     2
e    174   660     2
e    174   663     1
e    174   664     1
e    174   690     2
e    174   691     1
e    174   775     1
e    175   661     1
e    175   662     1
e    175   665     1
e    175   666     1
e    176   177     2
e    176   425     1
e    178   181     1
e    178   187     1
e    178   288     1
e    178   618     1
e    178   663     2
e    178   664     2
e    178   784     2
e    179   182     1
e    179   188     1
e    179   289     1
e    179   619     1
e    179   665     2
e    179   666     2
e    179   785     2
e    180   183     4
e    180   291     4
e    180   827     2
e    181   182     2
e    181   183     2
e    181   187     3
e    181   288     1
e    181   291     2
e    181   618     1
e    182   188     1
e    182   289     1
e    182   619     1
e    183   187     2
e    183   199     2
e    183   224     1
e    183   233     3
e    183   247     1
e    183   269     1
e    183   283     1
e    183   288     2
e    183   291    28
e    183   320     1
e    183   344     2
e    183   368     1
e    183   462     1
e    183   483     1
e    183   486     1
e    183   567     2
e    183   596     1
e    183   614     1
e    183   620     2
e    183   645     1
e    183   646     1
e    183   653     2
e    183   668     1
e    183   688     1
e    183   690     2
e    183   691     1
e    183   700     1
e    183   711     2
e    183   714     1
e    183   732     1
e    183   775     1
e    183   827     2
e    183   855     1
e    183   856     1
e    183   877     1
e    184   200     2
e    184   234     2
e    184   270     1
e    184   284     1
e    184   288     2
e    184   292     6
e    184   354     1
e    184   446     1
e    184   621     2
e    184   657     1
e    184   689     1
e    184   712     2
e    184   715     1
e    184   782     1
e    184   829     1
e    185   487     2
e    186   189     1
e    186   291     1
e    186   350     1
e    186   401     1
e    186   402     1
e    186   455     3
e    186   612     2
e    186   739     2
e    186   933     1
e    187   195     1
e    187   248     1
e    187   288     8
e    187   291    15
e    187   317     1
e    187   318     4
e    187   320     2
e    187   365     1
e    187   366     4
e    187   368     2
e    187   478     1
e    187   481     4
e    187   483     2
e    187   484     1
e    187   618    10
e    187   620     2
e    187   692     1
e    187   695     3
e    187   697     2
e    187   698     1
e    187   872     1
e    187   875     4
e    187   877     2
e    188   249     1
e    188   289     8
e    188   292     2
e    188   319     1
e    188   367     1
e    188   482     1
e    188   485     1
e    188   619    10
e    188   621     2
e    188   699     1
e    188   876     1
e    189   190     1
e    189   191     2
e    189   291     6
e    189   350     1
e    189   401     1
e    189   402     1
e    189   453     1
e    189   737     1
e    189   850     1
e    189   933     1
e    190   191     1
e    190   291     1
e    190   453     1
e    190   664     2
e    191   291     2
e    191   664     2
e    191   737     1
e    191   850     1
e    192   193     2
e    192   194     5
e    192   203     1
e    192   224     2
e    192   321     2
e    192   326     2
e    192   373     1
e    192   374     2
e    192   375     1
e    192   487     1
e    192   497     1
e    192   672     1
e    192   711     6
e    192   775     1
e    192   812     2
e    193   196     2
e    193   221     2
e    193   712     2
e    194   198     1
e    194   199     1
e    194   224     2
e    194   233     1
e    194   373     1
e    194   374     2
e    194   487     1
e    194   492     1
e    194   507     1
e    194   672     1
e    194   711     5
e    194   812     2
e    194   831     1
e    195   224     1
e    195   291     1
e    195   711     1
e    195   722     1
e    195   730     2
e    195   806     1
e    195   871     1
e    196   221     2
e    196   712     2
e    197   199     3
e    197   233     2
e    197   711     2
e    197   775     1
e    197   869     3
e    198   487     1
e    199   200     1
e    199   215     1
e    199   216     2
e    199   217     1
e    199   218     1
e    199   223     1
e    199   224     7
e    199   233   121
e    199   234     1
e    199   237     2
e    199   238     3
e    199   240     2
e    199   241     1
e    199   267     1
e    199   272     4
e    199   279     1
e    199   280     1
e    199   286     2
e    199   288    10
e    199   291     1
e    199   294     4
e    199   302     1
e    199   303     5
e    199   304     2
e    199   308     2
e    199   310     4
e    199   312     2
e    199   313     2
e    199   325     1
e    199   327     1
e    199   328     1
e    199   333     2
e    199   335     1
e    199   336     1
e    199   337     1
e    199   338     1
e    199   339     1
e    199   341     4
e    199   347     2
e    199   348     2
e    199   352     1
e    199   356     1
e    199   363     1
e    199   373     1
e    199   375     1
e    199   378     1
e    199   379     1
e    199   380     4
e    199   381     3
e    199   382     2
e    199   385     4
e    199   386     3
e    199   387     2
e    199   391     1
e    199   392     1
e    199   405     1
e    199   406     1
e    199   417     1
e    199   420     1
e    199   432     2
e    199   433     6
e    199   447     1
e    199   451     1
e    199   452     1
e    199   453     1
e    199   457     3
e    199   464     3
e    199   469     5
e    199   473     1
e    199   487     1
e    199   490     1
e    199   499     4
e    199   502     1
e    199   507     1
e    199   520     1
e    199   523     4
e    199   541     3
e    199   548     1
e    199   555     9
e    199   558     4
e    199   567     1
e    199   620     2
e    199   659     1
e    199   663     1
e    199   672     2
e    199   705     1
e    199   711    33
e    199   712     1
e    199   714     2
e    199   722     1
e    199   726     2
e    199   748     2
e    199   750     1
e    199   751     1
e    199   769     1
e    199   770     1
e    199   771     1
e    199   772     1
e    199   773     1
e    199   774     1
e    199   777     2
e    199   802     2
e    199   803     2
e    199   806     1
e    199   809     1
e    199   815     1
e    199   820     1
e    199   839     1
e    199   840     1
e    199   843     1
e    199   844     1
e    199   850     1
e    199   857     1
e    199   858     1
e    199   869     2
e    199   878     3
e    199   880     2
e    199   883     2
e    199   885     2
e    199   889     1
e    199   967     6
e    199   971     5
e    199   974     2
e    199   975     2
e    199   978     1
e    199   981     4
e    200   225     6
e    200   233     1
e    200   234    16
e    200   288     2
e    200   292     5
e    200   329     1
e    200   418     1
e    200   421     1
e    200   434     2
e    200   470     2
e    200   490     2
e    200   500     2
e    200   521     2
e    200   522     2
e    200   524     2
e    200   621     2
e    200   655     1
e    200   657     1
e    200   662     1
e    200   666     1
e    200   711     1
e    200   712    10
e    200   810     1
e    200   863     2
e    200   865     2
e    200   879     1
e    201   659     1
e    201   675     1
e    202   662     1
e    202   676     1
e    203   487     1
e    204   410     1
e    204   411     1
e    204   453     1
e    204   541     1
e    204   711     1
e    204   767     1
e    205   487     2
e    205   614     2
e    205   623     2
e    206   487     1
e    207   487     2
e    207   531     2
e    208   209     2
e    208   235     1
e    208   974     2
e    208   977     2
e    209   232     1
e    210   775     1
e    211   212     1
e    211   215     1
e    211   487     1
e    211   711     1
e    211   932     1
e    212   216     1
e    212   711     1
e    212   967     1
e    212   969     1
e    213   531     1
e    213   672     1
e    214   215     1
e    214   338     1
e    215   216     1
e    215   233     1
e    215   338     3
e    215   340     1
e    215   440     1
e    215   622     1
e    215   629     1
e    216   233     2
e    216   238     2
e    216   240     1
e    216   241     2
e    216   342     2
e    216   345     2
e    216   663     2
e    216   664     2
e    216   967     1
e    216   969     1
e    217   233     1
e    217   555     1
e    217   556     2
e    217   659     1
e    217   660     1
e    217   663     1
e    217   664     1
e    217   711     2
e    218   233     1
e    218   338     2
e    218   363     1
e    218   393     2
e    218   627     1
e    219   363     2
e    219   435     1
e    219   469     1
e    219   775     1
e    220   242     1
e    220   433     1
e    220   435     1
e    221   472     2
e    221   474     2
e    221   712     4
e    222   634     2
e    223   233     1
e    223   288     2
e    223   711     1
e    224   233    47
e    224   234     2
e    224   236     1
e    224   261     1
e    224   262     1
e    224   264     1
e    224   265     1
e    224   291    11
e    224   315     1
e    224   317     1
e    224   320     1
e    224   365     1
e    224   368     1
e    224   375     3
e    224   425     2
e    224   433     2
e    224   457     1
e    224   464     1
e    224   469     2
e    224   478     1
e    224   479     1
e    224   480     1
e    224   483     1
e    224   499     2
e    224   502     1
e    224   523     2
e    224   527     2
e    224   528     2
e    224   531     1
e    224   533     1
e    224   536     1
e    224   537     1
e    224   538     2
e    224   539     1
e    224   541     4
e    224   544     1
e    224   546     2
e    224   548     1
e    224   549     1
e    224   550     1
e    224   551     1
e    224   555     3
e    224   558     3
e    224   559     1
e    224   560     1
e    224   562     1
e    224   563     1
e    224   566     1
e    224   569     1
e    224   571     1
e    224   574     1
e    224   576     1
e    224   578     1
e    224   580     1
e    224   582     1
e    224   584     1
e    224   589     1
e    224   590     1
e    224   592     1
e    224   593     1
e    224   594     1
e    224   595     1
e    224   596     1
e    224   598     1
e    224   599     1
e    224   601     1
e    224   604     1
e    224   605     1
e    224   607     1
e    224   608     1
e    224   610     1
e    224   611     1
e    224   650     2
e    224   659     2
e    224   660     1
e    224   663     1
e    224   664     1
e    224   672     2
e    224   681     2
e    224   692     1
e    224   693     1
e    224   694     1
e    224   697     1
e    224   711     2
e    224   775    41
e    224   776     1
e    224   818     1
e    224   820     1
e    224   872     1
e    224   873     1
e    224   874     1
e    224   877     1
e    224   882     1
e    224   883     2
e    224   886     1
e    224   934     1
e    224   935     1
e    224   936     1
e    224   937     1
e    224   939     1
e    224   940     1
e    224   941     1
e    224   942     1
e    224   943     1
e    224   945     1
e    224   947     1
e    224   950     1
e    224   952     1
e    224   954     1
e    224   955     1
e    224   956     1
e    224   957     1
e    224   959     1
e    224   960     1
e    224   962     1
e    224   986     1
e    225   234    14
e    225   316     1
e    225   434     2
e    225   446     1
e    225   470     2
e    225   500     2
e    225   524     2
e    225   538     1
e    225   540     1
e    225   543     1
e    225   545     1
e    225   561     1
e    225   569     1
e    225   572     1
e    225   574     1
e    225   577     1
e    225   579     1
e    225   581     1
e    225   582     1
e    225   585     1
e    225   589     1
e    225   591     1
e    225   600     1
e    225   602     1
e    225   604     1
e    225   606     1
e    225   607     1
e    225   609     1
e    225   662     1
e    225   673     1
e    225   775     3
e    225   776     9
e    225   938     1
e    225   944     1
e    225   946     1
e    225   948     1
e    225   949     2
e    225   951     1
e    225   953     1
e    225   958     1
e    225   961     1
e    226   281     1
e    226   531     1
e    226   555     1
e    226   558     1
e    226   573     1
e    226   649     1
e    226   775     1
e    226   777     1
e    227   487     2
e    228   307     2
e    229   487     2
e    229   536     2
e    230   487     2
e    230   538     2
e    231   487     2
e    231   541     2
e    233   234     1
e    233   236     1
e    233   237     2
e    233   238     3
e    233   240     2
e    233   241     1
e    233   261     1
e    233   262     1
e    233   264     1
e    233   265     1
e    233   267     1
e    233   272     4
e    233   279     1
e    233   280     1
e    233   286     2
e    233   288    10
e    233   291    12
e    233   294     4
e    233   302     1
e    233   303     4
e    233   304     2
e    233   308     3
e    233   310     4
e    233   312     2
e    233   313     2
e    233   315     2
e    233   317     1
e    233   320     1
e    233   325     1
e    233   327     1
e    233   328     2
e    233   333     2
e    233   335     1
e    233   336     1
e    233   337     1
e    233   338     1
e    233   339     1
e    233   341     4
e    233   347     2
e    233   348     2
e    233   352     1
e    233   356     1
e    233   363     1
e    233   365     1
e    233   368     1
e    233   373     1
e    233   375     3
e    233   378     1
e    233   379     1
e    233   380     4
e    233   381     3
e    233   382     2
e    233   385     4
e    233   386     3
e    233   387     2
e    233   391     1
e    233   392     1
e    233   405     1
e    233   406     1
e    233   409     1
e    233   417     2
e    233   420     1
e    233   432     2
e    233   433     4
e    233   447     1
e    233   451     1
e    233   452     1
e    233   453     1
e    233   457     4
e    233   464     4
e    233   469     2
e    233   473     1
e    233   478     1
e    233   479     1
e    233   480     1
e    233   483     1
e    233   487     1
e    233   490     1
e    233   499     2
e    233   502     1
e    233   507     1
e    233   517     1
e    233   520     1
e    233   523     2
e    233   527     2
e    233   528     2
e    233   531     1
e    233   533     1
e    233   536     1
e    233   537     1
e    233   538     2
e    233   539     1
e    233   541     7
e    233   544     1
e    233   546     2
e    233   548     2
e    233   550     1
e    233   555    12
e    233   558     7
e    233   559     1
e    233   560     1
e    233   562     1
e    233   563     1
e    233   566     1
e    233   567     1
e    233   569     1
e    233   571     1
e    233   574     1
e    233   576     1
e    233   578     1
e    233   580     1
e    233   582     2
e    233   584     1
e    233   592     1
e    233   593     1
e    233   594     1
e    233   595     1
e    233   596     1
e    233   598     1
e    233   599     1
e    233   601     1
e    233   604     1
e    233   605     1
e    233   607     1
e    233   608     1
e    233   610     1
e    233   611     1
e    233   620     2
e    233   642     1
e    233   644     1
e    233   659     3
e    233   660     1
e    233   663     2
e    233   664     1
e    233   672     3
e    233   678     1
e    233   681     2
e    233   692     1
e    233   693     1
e    233   694     1
e    233   697     1
e    233   705     1
e    233   711    31
e    233   712     1
e    233   714     2
e    233   722     1
e    233   726     1
e    233   728     1
e    233   748     2
e    233   750     1
e    233   751     1
e    233   769     1
e    233   770     1
e    233   771     1
e    233   772     1
e    233   773     1
e    233   774     1
e    233   775    46
e    233   777     2
e    233   802     2
e    233   803     2
e    233   806     1
e    233   809     1
e    233   815     1
e    233   818     1
e    233   820     2
e    233   833     1
e    233   839     1
e    233   840     1
e    233   843     1
e    233   844     1
e    233   850     1
e    233   857     1
e    233   858     1
e    233   869     1
e    233   872     1
e    233   873     1
e    233   874     1
e    233   877     1
e    233   878     3
e    233   880     2
e    233   882     1
e    233   883     4
e    233   885     2
e    233   886     1
e    233   889     1
e    233   934     1
e    233   935     1
e    233   936     1
e    233   937     1
e    233   939     1
e    233   941     1
e    233   942     1
e    233   943     1
e    233   945     1
e    233   947     1
e    233   950     1
e    233   954     1
e    233   955     1
e    233   956     1
e    233   957     1
e    233   959     1
e    233   960     1
e    233   962     1
e    233   967     6
e    233   971     5
e    233   974     2
e    233   975     2
e    233   978     1
e    233   981     4
e    233   986     1
e    234   288     2
e    234   292     5
e    234   316     2
e    234   329     2
e    234   411     1
e    234   418     2
e    234   421     1
e    234   446     1
e    234   490     2
